frame_detected_secs,detected_flag,days,hours,minutes,seconds,formatted_time,dd_hh_mm_ss
0 days 00:00:00,0,0,0,0,0,0 days 0 hours 0 mins 0 secs,00:00:00:00
0 days 00:00:01,0,0,0,0,1,0 days 0 hours 0 mins 1 secs,00:00:00:01
0 days 00:00:02,0,0,0,0,2,0 days 0 hours 0 mins 2 secs,00:00:00:02
0 days 00:00:03,0,0,0,0,3,0 days 0 hours 0 mins 3 secs,00:00:00:03
0 days 00:00:04,0,0,0,0,4,0 days 0 hours 0 mins 4 secs,00:00:00:04
0 days 00:00:05,1,0,0,0,5,0 days 0 hours 0 mins 5 secs,00:00:00:05
0 days 00:00:06,0,0,0,0,6,0 days 0 hours 0 mins 6 secs,00:00:00:06
0 days 00:00:07,1,0,0,0,7,0 days 0 hours 0 mins 7 secs,00:00:00:07
0 days 00:00:08,0,0,0,0,8,0 days 0 hours 0 mins 8 secs,00:00:00:08
0 days 00:00:09,0,0,0,0,9,0 days 0 hours 0 mins 9 secs,00:00:00:09
0 days 00:00:10,0,0,0,0,10,0 days 0 hours 0 mins 10 secs,00:00:00:10
0 days 00:00:11,0,0,0,0,11,0 days 0 hours 0 mins 11 secs,00:00:00:11
0 days 00:00:12,0,0,0,0,12,0 days 0 hours 0 mins 12 secs,00:00:00:12
0 days 00:00:13,0,0,0,0,13,0 days 0 hours 0 mins 13 secs,00:00:00:13
0 days 00:00:14,1,0,0,0,14,0 days 0 hours 0 mins 14 secs,00:00:00:14
0 days 00:00:15,1,0,0,0,15,0 days 0 hours 0 mins 15 secs,00:00:00:15
0 days 00:00:16,1,0,0,0,16,0 days 0 hours 0 mins 16 secs,00:00:00:16
0 days 00:00:17,0,0,0,0,17,0 days 0 hours 0 mins 17 secs,00:00:00:17
0 days 00:00:18,0,0,0,0,18,0 days 0 hours 0 mins 18 secs,00:00:00:18
0 days 00:00:19,0,0,0,0,19,0 days 0 hours 0 mins 19 secs,00:00:00:19
0 days 00:00:20,0,0,0,0,20,0 days 0 hours 0 mins 20 secs,00:00:00:20
0 days 00:00:21,0,0,0,0,21,0 days 0 hours 0 mins 21 secs,00:00:00:21
0 days 00:00:22,1,0,0,0,22,0 days 0 hours 0 mins 22 secs,00:00:00:22
0 days 00:00:23,1,0,0,0,23,0 days 0 hours 0 mins 23 secs,00:00:00:23
0 days 00:00:24,1,0,0,0,24,0 days 0 hours 0 mins 24 secs,00:00:00:24
0 days 00:00:25,0,0,0,0,25,0 days 0 hours 0 mins 25 secs,00:00:00:25
0 days 00:00:26,1,0,0,0,26,0 days 0 hours 0 mins 26 secs,00:00:00:26
0 days 00:00:27,0,0,0,0,27,0 days 0 hours 0 mins 27 secs,00:00:00:27
0 days 00:00:28,0,0,0,0,28,0 days 0 hours 0 mins 28 secs,00:00:00:28
0 days 00:00:29,1,0,0,0,29,0 days 0 hours 0 mins 29 secs,00:00:00:29
0 days 00:00:30,0,0,0,0,30,0 days 0 hours 0 mins 30 secs,00:00:00:30
0 days 00:00:31,0,0,0,0,31,0 days 0 hours 0 mins 31 secs,00:00:00:31
0 days 00:00:32,0,0,0,0,32,0 days 0 hours 0 mins 32 secs,00:00:00:32
0 days 00:00:33,0,0,0,0,33,0 days 0 hours 0 mins 33 secs,00:00:00:33
0 days 00:00:34,0,0,0,0,34,0 days 0 hours 0 mins 34 secs,00:00:00:34
0 days 00:00:35,0,0,0,0,35,0 days 0 hours 0 mins 35 secs,00:00:00:35
0 days 00:00:36,1,0,0,0,36,0 days 0 hours 0 mins 36 secs,00:00:00:36
0 days 00:00:37,0,0,0,0,37,0 days 0 hours 0 mins 37 secs,00:00:00:37
0 days 00:00:38,0,0,0,0,38,0 days 0 hours 0 mins 38 secs,00:00:00:38
0 days 00:00:39,0,0,0,0,39,0 days 0 hours 0 mins 39 secs,00:00:00:39
0 days 00:00:40,0,0,0,0,40,0 days 0 hours 0 mins 40 secs,00:00:00:40
0 days 00:00:41,0,0,0,0,41,0 days 0 hours 0 mins 41 secs,00:00:00:41
0 days 00:00:42,1,0,0,0,42,0 days 0 hours 0 mins 42 secs,00:00:00:42
0 days 00:00:43,1,0,0,0,43,0 days 0 hours 0 mins 43 secs,00:00:00:43
0 days 00:00:44,0,0,0,0,44,0 days 0 hours 0 mins 44 secs,00:00:00:44
0 days 00:00:45,0,0,0,0,45,0 days 0 hours 0 mins 45 secs,00:00:00:45
0 days 00:00:46,0,0,0,0,46,0 days 0 hours 0 mins 46 secs,00:00:00:46
0 days 00:00:47,0,0,0,0,47,0 days 0 hours 0 mins 47 secs,00:00:00:47
0 days 00:00:48,1,0,0,0,48,0 days 0 hours 0 mins 48 secs,00:00:00:48
0 days 00:00:49,1,0,0,0,49,0 days 0 hours 0 mins 49 secs,00:00:00:49
0 days 00:00:50,1,0,0,0,50,0 days 0 hours 0 mins 50 secs,00:00:00:50
0 days 00:00:51,0,0,0,0,51,0 days 0 hours 0 mins 51 secs,00:00:00:51
0 days 00:00:52,0,0,0,0,52,0 days 0 hours 0 mins 52 secs,00:00:00:52
0 days 00:00:53,1,0,0,0,53,0 days 0 hours 0 mins 53 secs,00:00:00:53
0 days 00:00:54,1,0,0,0,54,0 days 0 hours 0 mins 54 secs,00:00:00:54
0 days 00:00:55,1,0,0,0,55,0 days 0 hours 0 mins 55 secs,00:00:00:55
0 days 00:00:56,1,0,0,0,56,0 days 0 hours 0 mins 56 secs,00:00:00:56
0 days 00:00:57,1,0,0,0,57,0 days 0 hours 0 mins 57 secs,00:00:00:57
0 days 00:00:58,1,0,0,0,58,0 days 0 hours 0 mins 58 secs,00:00:00:58
0 days 00:00:59,1,0,0,0,59,0 days 0 hours 0 mins 59 secs,00:00:00:59
0 days 00:01:00,1,0,0,1,0,0 days 0 hours 1 mins 0 secs,00:00:01:00
0 days 00:01:01,1,0,0,1,1,0 days 0 hours 1 mins 1 secs,00:00:01:01
0 days 00:01:02,1,0,0,1,2,0 days 0 hours 1 mins 2 secs,00:00:01:02
0 days 00:01:03,1,0,0,1,3,0 days 0 hours 1 mins 3 secs,00:00:01:03
0 days 00:01:04,1,0,0,1,4,0 days 0 hours 1 mins 4 secs,00:00:01:04
0 days 00:01:05,1,0,0,1,5,0 days 0 hours 1 mins 5 secs,00:00:01:05
0 days 00:01:06,1,0,0,1,6,0 days 0 hours 1 mins 6 secs,00:00:01:06
0 days 00:01:07,1,0,0,1,7,0 days 0 hours 1 mins 7 secs,00:00:01:07
0 days 00:01:08,1,0,0,1,8,0 days 0 hours 1 mins 8 secs,00:00:01:08
0 days 00:01:09,1,0,0,1,9,0 days 0 hours 1 mins 9 secs,00:00:01:09
0 days 00:01:10,1,0,0,1,10,0 days 0 hours 1 mins 10 secs,00:00:01:10
0 days 00:01:11,1,0,0,1,11,0 days 0 hours 1 mins 11 secs,00:00:01:11
0 days 00:01:12,1,0,0,1,12,0 days 0 hours 1 mins 12 secs,00:00:01:12
0 days 00:01:13,1,0,0,1,13,0 days 0 hours 1 mins 13 secs,00:00:01:13
0 days 00:01:14,1,0,0,1,14,0 days 0 hours 1 mins 14 secs,00:00:01:14
0 days 00:01:15,0,0,0,1,15,0 days 0 hours 1 mins 15 secs,00:00:01:15
0 days 00:01:16,1,0,0,1,16,0 days 0 hours 1 mins 16 secs,00:00:01:16
0 days 00:01:17,1,0,0,1,17,0 days 0 hours 1 mins 17 secs,00:00:01:17
0 days 00:01:18,1,0,0,1,18,0 days 0 hours 1 mins 18 secs,00:00:01:18
0 days 00:01:19,1,0,0,1,19,0 days 0 hours 1 mins 19 secs,00:00:01:19
0 days 00:01:20,0,0,0,1,20,0 days 0 hours 1 mins 20 secs,00:00:01:20
0 days 00:01:21,1,0,0,1,21,0 days 0 hours 1 mins 21 secs,00:00:01:21
0 days 00:01:22,0,0,0,1,22,0 days 0 hours 1 mins 22 secs,00:00:01:22
0 days 00:01:23,1,0,0,1,23,0 days 0 hours 1 mins 23 secs,00:00:01:23
0 days 00:01:24,0,0,0,1,24,0 days 0 hours 1 mins 24 secs,00:00:01:24
0 days 00:01:25,0,0,0,1,25,0 days 0 hours 1 mins 25 secs,00:00:01:25
0 days 00:01:26,1,0,0,1,26,0 days 0 hours 1 mins 26 secs,00:00:01:26
0 days 00:01:27,1,0,0,1,27,0 days 0 hours 1 mins 27 secs,00:00:01:27
